"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
s,ms,,,,,,,,KB,B,,,,,
12.067313,11.587732,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1067
12.078901,11.565044,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1068
12.090467,10.823321,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1069
12.101291,10.818168,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1070
12.112110,10.815450,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1071
12.122927,10.818072,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1072
12.133746,10.824026,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1073
12.144571,10.812952,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1074
12.155385,10.817114,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1075
12.166203,10.813528,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1076
12.177017,10.808026,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1077
12.187826,10.816505,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1078
12.198643,10.811673,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1079
